中央电视,#genre#

CCTV-1综合(高清),http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV-1综合(高清),http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV-1综合(高清),http://39.135.138.58:18890/PLTV/88888888/224/3221225630/index.m3u8
CCTV-1综合(高清),http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8
CCTV-1综合(高清),http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1综合(高清),http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
CCTV-1综合(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV-1综合(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-1综合(高清),http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8
CCTV-2财经(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2财经(高清),http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV-2财经(高清),http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2财经(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV-2财经(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV-2财经(高清),http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV-2财经(高清),http://111.20.33.93/TVOD/88888893/224/3221226195/index.m3u8
CCTV-3综艺(高清),http://live.aikan.miguvideo.com/PLTV/88888888/224/3221231682/index.m3u8
CCTV-3综艺(高清),http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3综艺(高清),http://111.20.33.93/TVOD/88888893/224/3221226397/index.m3u8
CCTV-3综艺(高清),http://140.207.241.2:8080/live/program/live/cctv3hd/2300000/mnf.m3u8
CCTV-3综艺(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV-3综艺(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV-3综艺(高清),http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV-3综艺(高清),http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV-4中文国际,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV-4中文国际,http://117.148.179.157/PLTV/88888888/224/3221231726/index.m3u8
CCTV-4中文国际,http://111.59.189.40:8445/tsfile/live/1003_1.m3u8
CCTV-4中文国际,http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8
CCTV-4中文国际,http://117.169.120.140:8080/live/cctv-4/.m3u8
CCTV-4中文国际,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV4-中文国际,http://117.148.129.68/PLTV/88888888/224/3221231615/index.m3u8
CCTV-4中文国际,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV-4中文国际,http://111.20.33.93/TVOD/88888893/224/3221226191/index.m3u8
CCTV-4中文国际,http://112.17.40.220/PLTV/88888888/224/3221231654/index.m3u8?icpid=88888888&from=1&hms_devid=264,503
CCTV-5体育(高清),http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5体育(高清),http://39.135.138.60:18890/TVOD/88888910/224/3221225706/index.m3u8
CCTV-5体育(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV-5体育(高清),http://140.207.241.2:8080/live/program/live/cctv5hd/4000000/mnf.m3u8
CCTV-5体育(高清),http://39.134.65.208/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5体育(高清),http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5体育(高清),http://39.135.32.26:6610/000000001000/1000000003000030177/1.m3u8?
CCTV-5+体育赛事,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8
CCTV-5+体育赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV-5+体育赛事,http://39.134.115.163:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV-5+体育赛事,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV-5+体育赛事,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/2/index.m3u8
CCTV-5+体育赛事,http://117.148.179.139/PLTV/88888888/224/3221231535/index.m3u8
CCTV-5+体育赛事,http://111.20.33.93/TVOD/88888893/224/3221226221/index.m3u8
CCTV-6电影(高清),http://39.134.65.181/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6电影(高清),http://39.134.65.173/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6电影(高清),http://39.134.65.183/PLTV/88888888/224/3221225814/1.m3u8
CCTV-6电影(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV-6电影(高清),http://111.20.33.93/TVOD/88888893/224/3221226393/index.m3u8
CCTV-6电影(高清),http://140.207.241.2:8080/live/program/live/cctv6hd/2300000/mnf.m3u8
CCTV-6电影(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6电影(高清),http://39.135.138.58:18890/PLTV/88888888/224/3221225632/index.m3u8
CCTV-6电影(高清),http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8
CCTV-6电影(高清),http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8
CCTV-7军事(高清),http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV-7军事(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV-7军事(高清),http://39.135.138.60:18890/TVOD/88888910/224/3221225624/index.m3u8
CCTV-7军事(高清),http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8
CCTV-7军事(高清),http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV-7军事(高清),http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8
CCTV-8电视剧(高清),http://39.134.65.173/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8电视剧(高清),http://39.134.65.183/PLTV/88888888/224/3221225795/1.m3u8
CCTV-8电视剧(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV-8电视剧(高清),http://140.207.241.2:8080/live/program/live/cctv8hd/2300000/mnf.m3u8
CCTV-8电视剧(高清),http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8
CCTV-9纪录(高清),http://111.20.33.93/TVOD/88888893/224/3221226197/index.m3u8
CCTV-9纪录(高清),http://117.148.179.162/PLTV/88888888/224/3221231697/index.m3u8
CCTV-9纪录(高清),http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV-9纪录(高清),http://39.135.138.58:18890/PLTV/88888888/224/3221225626/index.m3u8
CCTV-9纪录(高清),http://39.134.65.179/PLTV/88888888/224/3221225676/1.m3u8
CCTV-9纪录(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV-9纪录(高清),http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8
CCTV-9纪录(高清),http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8
CCTV-10科教(高清),http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10科教(高清),http://39.134.65.164/PLTV/88888888/224/3221225677/1.m3u8
CCTV-10科教(高清),http://39.134.65.181/PLTV/88888888/224/3221225677/1.m3u8
CCTV-10科教(高清),http://39.134.115.163:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV-10科教(高清),http://39.135.138.60:18890/TVOD/88888910/224/3221225627/index.m3u8
CCTV-10科教(高清),http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
